Beekeepers Exclusive to State,Colonies Exclusive to State,if than for year,Path,Region,State,Year,Year (copy),Beekeepers,Beekeepers Calc,Colonies,Colonies Calc,Colonies per keeper,Total Winter All Loss
38.9%,0.2%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2015-16,2015-16,18,39811,39811,39811,2211.722222222,12%
100%,100%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2015-16,2015-16,24,646,646,646,26.916666667,14%
90.7%,29.1%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2015-16,2015-16,43,1216,1216,1216,28.279069767,15%
94.1%,4%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2015-16,2015-16,136,28783,28783,28783,211.639705882,18%
71.4%,1.7%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2015-16,2015-16,28,19395,19395,19395,692.678571429,18%
97.3%,2.5%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2015-16,2015-16,112,29967,29967,29967,267.5625,18%
77.8%,1.2%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2015-16,2015-16,9,2261,2261,2261,251.222222222,19%
93%,40.5%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2015-16,2015-16,71,1424,1424,1424,20.056338028,19%
97.9%,97.4%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2015-16,2015-16,47,463,463,463,9.851063830,20%
97.3%,27.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2015-16,2015-16,185,3253,3253,3253,17.583783784,21%
91.8%,22.2%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2015-16,2015-16,159,31555,31555,31555,198.459119497,22%
75%,12.8%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2015-16,2015-16,8,117,117,117,14.625,22%
83.3%,75%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2015-16,2015-16,24,108,108,108,4.5,23%
97.1%,92.3%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2015-16,2015-16,138,1033,1033,1033,7.485507246,23%
97.3%,95.3%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2015-16,2015-16,113,1495,1495,1495,13.230088496,25%
67.9%,1.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2015-16,2015-16,53,91018,91018,91018,1717.320754717,25%
19.4%,0%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2015-16,2015-16,31,171301,171301,171301,5525.838709677,26%
97.2%,39.5%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2015-16,2015-16,107,1772,1772,1772,16.560747664,26%
0%,0%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2015-16,2015-16,162,338628,338628,338628,2090.296296296,26%
63.7%,6.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,California,2015-16,2015-16,204,330890,330890,330890,1622.009803922,27%
98.5%,98.7%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2015-16,2015-16,198,1738,1738,1738,8.777777778,27%
97.5%,97.8%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2015-16,2015-16,81,726,726,726,8.962962963,27%
77.8%,0.9%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2015-16,2015-16,18,26792,26792,26792,1488.444444444,27%
97.8%,15.5%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2015-16,2015-16,46,4352,4352,4352,94.608695652,29%
98.4%,50%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2015-16,2015-16,256,4772,4772,4772,18.640625,29%
92.2%,87%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2015-16,2015-16,64,307,307,307,4.796875,30%
100%,100%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2015-16,2015-16,8,43,43,43,5.375,30%
97.4%,21.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2015-16,2015-16,271,9514,9514,9514,35.107011070,31%
97%,96.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2015-16,2015-16,296,2933,2933,2933,9.908783784,32%
98.3%,91.8%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2015-16,2015-16,692,4019,4019,4019,5.807803468,32%
94.2%,12.8%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2015-16,2015-16,189,24016,24016,24016,127.068783069,33%
84.8%,4.2%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2015-16,2015-16,46,9891,9891,9891,215.021739130,35%
78.8%,1.3%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2015-16,2015-16,99,107590,107590,107590,1086.767676768,35%
90.6%,9.4%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2015-16,2015-16,170,25014,25014,25014,147.141176471,35%
43.8%,0.1%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2015-16,2015-16,16,63677,63677,63677,3979.8125,36%
94.5%,19.9%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2015-16,2015-16,165,19808,19808,19808,120.048484848,36%
96.8%,96.2%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2015-16,2015-16,155,1212,1212,1212,7.819354839,37%
84.2%,67.8%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2015-16,2015-16,19,199,199,199,10.473684211,37%
96.4%,64.8%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2015-16,2015-16,55,917,917,917,16.672727273,38%
94.7%,96.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2015-16,2015-16,75,795,795,795,10.6,40%
94.2%,12.5%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2015-16,2015-16,154,14905,14905,14905,96.785714286,40%
98.7%,31.9%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2015-16,2015-16,777,15198,15198,15198,19.559845560,41%
90.2%,18.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2015-16,2015-16,61,26647,26647,26647,436.836065574,42%
79.2%,0.9%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2015-16,2015-16,24,10636,10636,10636,443.166666667,44%
92.1%,42.8%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2015-16,2015-16,63,1270,1270,1270,20.158730159,45%
94.4%,9.9%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2015-16,2015-16,36,4000,4000,4000,111.111111111,46%
90.7%,14.7%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2015-16,2015-16,129,8000,8000,8000,62.015503876,47%
96.1%,96.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2015-16,2015-16,153,1272,1272,1272,8.313725490,49%
66.7%,1.6%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2015-16,2015-16,15,5124,5124,5124,341.6,60%
100%,100%,2015-2016,data/BIP Bee Colony Loss Clean.xlsx,Alaska,Alaska,2015-16,2015-16,5,19,19,19,3.8,72%
22.2%,0.1%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2016-17,2016-17,9,11793,11793,11793,1310.333333333,7%
93.3%,5.2%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2016-17,2016-17,15,1688,1688,1688,112.533333333,7%
60.7%,0.3%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2016-17,2016-17,28,38962,38962,38962,1391.5,11%
88.5%,8.8%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2016-17,2016-17,87,25580,25580,25580,294.022988506,13%
87.5%,2.2%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2016-17,2016-17,40,51318,51318,51318,1282.95,13%
95.7%,27.2%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2016-17,2016-17,231,5983,5983,5983,25.900432900,15%
95.6%,2.3%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2016-17,2016-17,113,21497,21497,21497,190.238938053,16%
94.1%,2%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2016-17,2016-17,85,30652,30652,30652,360.611764706,16%
93.2%,13.3%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2016-17,2016-17,146,40602,40602,40602,278.095890411,17%
95%,85.7%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2016-17,2016-17,60,875,875,875,14.583333333,17%
92.3%,14.8%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2016-17,2016-17,39,2429,2429,2429,62.282051282,17%
94%,23.5%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2016-17,2016-17,83,2962,2962,2962,35.686746988,18%
94.3%,30.3%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2016-17,2016-17,53,1649,1649,1649,31.113207547,18%
75%,1.4%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2016-17,2016-17,20,5487,5487,5487,274.35,18%
66.3%,19.2%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,California,2016-17,2016-17,184,298101,298101,298101,1620.114130435,18%
0%,0%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2016-17,2016-17,139,261997,261997,261997,1884.870503597,19%
95%,15.1%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2016-17,2016-17,140,13991,13991,13991,99.935714286,19%
83.6%,2.5%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2016-17,2016-17,67,72665,72665,72665,1084.552238806,19%
94.1%,4.8%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2016-17,2016-17,170,37559,37559,37559,220.935294118,20%
97.2%,15.9%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2016-17,2016-17,177,11816,11816,11816,66.757062147,21%
23.8%,0%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2016-17,2016-17,21,117600,117600,117600,5600,22%
90.7%,17%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2016-17,2016-17,107,13893,13893,13893,129.841121495,23%
99.2%,27.9%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2016-17,2016-17,119,3881,3881,3881,32.613445378,23%
96.5%,91%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2016-17,2016-17,113,1086,1086,1086,9.610619469,24%
53.9%,0.6%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2016-17,2016-17,13,21487,21487,21487,1652.846153846,25%
92.3%,16%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2016-17,2016-17,169,19910,19910,19910,117.810650888,25%
97.7%,98.3%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2016-17,2016-17,43,473,473,473,11,25%
100%,100%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2016-17,2016-17,66,821,821,821,12.439393939,25%
100%,100%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2016-17,2016-17,10,77,77,77,7.7,26%
91.2%,1.4%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2016-17,2016-17,113,73349,73349,73349,649.106194690,28%
97.9%,93.6%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2016-17,2016-17,284,2280,2280,2280,8.028169014,32%
91.7%,9.4%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2016-17,2016-17,24,4679,4679,4679,194.958333333,32%
94.7%,18.8%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2016-17,2016-17,57,2253,2253,2253,39.526315789,33%
97.1%,87.6%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2016-17,2016-17,444,2887,2887,2887,6.502252252,36%
96.2%,93.5%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2016-17,2016-17,131,768,768,768,5.862595420,36%
84.2%,63.5%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2016-17,2016-17,19,74,74,74,3.894736842,37%
94.2%,74.7%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2016-17,2016-17,52,1710,1710,1710,32.884615385,38%
96%,41.1%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2016-17,2016-17,25,382,382,382,15.28,38%
88%,90.1%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2016-17,2016-17,25,101,101,101,4.04,39%
97.8%,51.6%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2016-17,2016-17,754,11794,11794,11794,15.641909814,40%
91.7%,1%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2016-17,2016-17,24,17178,17178,17178,715.75,40%
92%,35.5%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2016-17,2016-17,162,4319,4319,4319,26.660493827,42%
97.1%,40.9%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2016-17,2016-17,34,2070,2070,2070,60.882352941,44%
97.8%,35.1%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2016-17,2016-17,232,2763,2763,2763,11.909482759,45%
97.7%,95.2%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2016-17,2016-17,85,788,788,788,9.270588235,47%
97.5%,44.5%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2016-17,2016-17,121,2053,2053,2053,16.966942149,54%
93.2%,43.4%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2016-17,2016-17,59,712,712,712,12.067796610,54%
100%,100%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2016-17,2016-17,44,391,391,391,8.886363636,55%
90.9%,90.7%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2016-17,2016-17,22,215,215,215,9.772727273,57%
80%,11%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2016-17,2016-17,10,474,474,474,47.4,62%
87%,83.9%,2016-2017,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2016-17,2016-17,46,411,411,411,8.934782609,69%
96.5%,16.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2017-18,2017-18,114,3285,3285,3285,28.815789474,13%
64.3%,0.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2017-18,2017-18,14,12112,12112,12112,865.142857143,14%
90.5%,32.3%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2017-18,2017-18,42,2627,2627,2627,62.547619048,17%
73.7%,2.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2017-18,2017-18,57,13794,13794,13794,242,18%
89.7%,22.2%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2017-18,2017-18,29,2281,2281,2281,78.655172414,19%
96.4%,28.5%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2017-18,2017-18,139,7413,7413,7413,53.330935252,20%
95.3%,61.8%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2017-18,2017-18,85,1326,1326,1326,15.6,21%
95.5%,9.6%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2017-18,2017-18,156,18597,18597,18597,119.211538462,21%
94.8%,2.5%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2017-18,2017-18,134,52531,52531,52531,392.022388060,22%
57.1%,0.2%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2017-18,2017-18,14,41002,41002,41002,2928.714285714,23%
93.8%,75.2%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2017-18,2017-18,32,364,364,364,11.375,23%
90.6%,34.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2017-18,2017-18,64,1773,1773,1773,27.703125,24%
96.7%,64.3%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2017-18,2017-18,122,19232,19232,19232,157.639344262,25%
0%,0%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2017-18,2017-18,117,147342,147342,147342,1259.333333333,25%
23.1%,0%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2017-18,2017-18,13,65459,65459,65459,5035.307692308,25%
66.9%,4.6%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,California,2017-18,2017-18,136,136403,136403,136403,1002.963235294,25%
95.1%,12.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2017-18,2017-18,284,20613,20613,20613,72.580985915,25%
88.2%,7.6%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2017-18,2017-18,34,11099,11099,11099,326.441176471,26%
93.8%,72%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2017-18,2017-18,16,157,157,157,9.8125,26%
87.1%,4.7%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2017-18,2017-18,101,35425,35425,35425,350.742574257,27%
94.8%,37.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2017-18,2017-18,154,5947,5947,5947,38.616883117,28%
92%,22.8%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2017-18,2017-18,150,6525,6525,6525,43.5,31%
77.8%,84.8%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2017-18,2017-18,9,69,69,69,7.666666667,33%
92.8%,23.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2017-18,2017-18,152,3446,3446,3446,22.671052632,34%
95.5%,48.4%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2017-18,2017-18,112,3167,3167,3167,28.276785714,34%
98.8%,87.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2017-18,2017-18,163,747,747,747,4.582822086,35%
83.3%,16.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2017-18,2017-18,12,9556,9556,9556,796.333333333,37%
95.4%,98.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2017-18,2017-18,65,1892,1892,1892,29.107692308,38%
92.3%,15.9%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2017-18,2017-18,26,719,719,719,27.653846154,39%
94.8%,95.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2017-18,2017-18,77,685,685,685,8.896103896,39%
96.7%,70%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2017-18,2017-18,91,1212,1212,1212,13.318681319,41%
90.9%,8.8%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2017-18,2017-18,22,6880,6880,6880,312.727272727,41%
90%,39.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2017-18,2017-18,60,1580,1580,1580,26.333333333,42%
98.8%,90.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2017-18,2017-18,258,2665,2665,2665,10.329457364,42%
96%,40.5%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2017-18,2017-18,101,9814,9814,9814,97.168316832,44%
94.4%,95.7%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2017-18,2017-18,18,129,129,129,7.166666667,44%
100%,100%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2017-18,2017-18,78,593,593,593,7.602564103,46%
98%,90.5%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2017-18,2017-18,607,5490,5490,5490,9.044481054,47%
98.1%,41.5%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2017-18,2017-18,52,668,668,668,12.846153846,51%
89.5%,87.2%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2017-18,2017-18,19,82,82,82,4.315789474,51%
98.6%,95.3%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2017-18,2017-18,211,2286,2286,2286,10.834123223,52%
94.7%,52%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2017-18,2017-18,57,877,877,877,15.385964912,53%
98.3%,98.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2017-18,2017-18,120,1229,1229,1229,10.241666667,54%
98%,90.6%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2017-18,2017-18,49,560,560,560,11.428571429,54%
90%,95.2%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,District of Columbia,2017-18,2017-18,10,21,21,21,2.1,57%
97%,99.1%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2017-18,2017-18,100,1710,1710,1710,17.1,59%
98.9%,97.8%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2017-18,2017-18,551,4479,4479,4479,8.128856624,60%
84.6%,3.3%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2017-18,2017-18,13,4866,4866,4866,374.307692308,61%
96.3%,93.8%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2017-18,2017-18,80,1880,1880,1880,23.5,65%
83.3%,7.6%,2017-2018,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2017-18,2017-18,6,1237,1237,1237,206.166666667,72%
95.9%,8.1%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2018-19,2018-19,122,18436,18436,18436,151.114754098,12%
85.4%,13.8%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2018-19,2018-19,41,5311,5311,5311,129.536585366,12%
76.5%,1.4%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2018-19,2018-19,17,11696,11696,11696,688,14%
95.5%,18.6%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2018-19,2018-19,134,7553,7553,7553,56.365671642,14%
86.5%,27.5%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2018-19,2018-19,37,18320,18320,18320,495.135135135,18%
95.5%,20.5%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2018-19,2018-19,132,2981,2981,2981,22.583333333,18%
87.6%,9.6%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2018-19,2018-19,121,23000,23000,23000,190.082644628,20%
98.7%,94.9%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2018-19,2018-19,75,2140,2140,2140,28.533333333,22%
98%,97.7%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2018-19,2018-19,49,1497,1497,1497,30.551020408,22%
93.1%,10.6%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2018-19,2018-19,72,5728,5728,5728,79.555555556,23%
99%,93.7%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2018-19,2018-19,201,1937,1937,1937,9.636815920,24%
95.8%,30.4%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2018-19,2018-19,193,2981,2981,2981,15.445595855,25%
10.5%,0%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2018-19,2018-19,19,125725,125725,125725,6617.105263158,25%
99%,99.9%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2018-19,2018-19,100,1655,1655,1655,16.55,26%
97.9%,96.2%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2018-19,2018-19,47,492,492,492,10.468085106,26%
98.9%,98.9%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2018-19,2018-19,186,1711,1711,1711,9.198924731,27%
92.3%,89.2%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2018-19,2018-19,91,638,638,638,7.010989011,27%
99%,99.5%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2018-19,2018-19,95,1041,1041,1041,10.957894737,28%
100%,100%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2018-19,2018-19,16,65,65,65,4.0625,29%
96%,9.4%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2018-19,2018-19,223,23533,23533,23533,105.529147982,29%
91.1%,2.2%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2018-19,2018-19,112,63236,63236,63236,564.607142857,30%
94.4%,12.4%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2018-19,2018-19,90,8065,8065,8065,89.611111111,30%
93.3%,3.3%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2018-19,2018-19,134,48685,48685,48685,363.320895522,30%
0%,0%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2018-19,2018-19,120,264848,264848,264848,2207.066666667,30%
56.9%,8.9%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,California,2018-19,2018-19,144,276535,276535,276535,1920.381944444,31%
100%,100%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2018-19,2018-19,41,390,390,390,9.512195122,32%
65.6%,1.6%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2018-19,2018-19,32,77250,77250,77250,2414.0625,32%
98.2%,90.6%,2018-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2018-19,2018-19,621,4426,4426,4426,7.127214171,33%
